onset	duration	event_type	recipient	selfpay	recipientpay	button
0.01	0	Fixation	Nurse	15	15	L
3.01	3.58	Recipient	Nurse	15	15	L
6.59	0	Payoff	Nurse	15	15	L
12.26	0	Choice	Nurse	15	15	L
15.28	0	Fixation	Homeless	6	14	L
18.29	3.58	Recipient	Homeless	6	14	L
21.86	0	Payoff	Homeless	6	14	L
27.86	0	Choice	Homeless	6	14	L
30.88	0	Fixation	Accountant	15	9	L
33.89	3.58	Recipient	Accountant	15	9	L
37.46	0	Payoff	Accountant	15	9	L
43.59	0	Choice	Accountant	15	9	L
46.61	0	Fixation	PrisonInmate	5	5	R
50.62	3.58	Recipient	PrisonInmate	5	5	R
54.20	0	Payoff	PrisonInmate	5	5	R
60.23	0	Choice	PrisonInmate	5	5	R
63.26	0	Fixation	Olympicathlete	14	6	R
67.26	3.58	Recipient	Olympicathlete	14	6	R
70.84	0	Payoff	Olympicathlete	14	6	R
76.96	0	Choice	Olympicathlete	14	6	R
79.98	0	Fixation	Jewish	15	9	L
84.99	3.58	Recipient	Jewish	15	9	L
88.57	0	Payoff	Jewish	15	9	L
94.77	0	Choice	Jewish	15	9	L
97.79	0	Fixation	Accountant	5	20	R
100.80	3.58	Recipient	Accountant	5	20	R
104.38	0	Payoff	Accountant	5	20	R
110.49	0	Choice	Accountant	5	20	R
113.52	0	Fixation	Spanish	14	6	R
116.52	3.58	Recipient	Spanish	14	6	R
120.10	0	Payoff	Spanish	14	6	R
127.74	0	Choice	Spanish	14	6	R
130.76	0	Fixation	Arab	5	5	R
133.77	3.58	Recipient	Arab	5	5	R
137.35	0	Payoff	Arab	5	5	R
143.41	0	Choice	Arab	5	5	R
146.43	0	Fixation	Homeless	20	5	R
149.44	3.58	Recipient	Homeless	20	5	R
153.01	0	Payoff	Homeless	20	5	R
160.04	0	Choice	Homeless	20	5	R
163.06	0	Fixation	British	15	9	L
166.07	3.58	Recipient	British	15	9	L
169.64	0	Payoff	British	15	9	L
175.84	0	Choice	British	15	9	L
178.85	0	Fixation	Farmer	14	6	R
189.85	3.58	Recipient	Farmer	14	6	R
193.43	0	Payoff	Farmer	14	6	R
199.59	0	Choice	Farmer	14	6	R
202.60	0	Fixation	Olympicathlete	5	5	R
206.60	3.58	Recipient	Olympicathlete	5	5	R
210.17	0	Payoff	Olympicathlete	5	5	R
216.17	0	Choice	Olympicathlete	5	5	R
219.18	0	Fixation	British	15	15	L
221.18	3.58	Recipient	British	15	15	L
224.76	0	Payoff	British	15	15	L
230.73	0	Choice	British	15	15	L
233.74	0	Fixation	Stay-at-homeparent	5	5	R
235.74	3.58	Recipient	Stay-at-homeparent	5	5	R
239.32	0	Payoff	Stay-at-homeparent	5	5	R
245.26	0	Choice	Stay-at-homeparent	5	5	R
248.27	0	Fixation	Lawyer	9	15	R
257.28	3.58	Recipient	Lawyer	9	15	R
260.85	0	Payoff	Lawyer	9	15	R
266.89	0	Choice	Lawyer	9	15	R
269.90	0	Fixation	Farmer	15	9	L
