onset	duration	event_type	recipient	selfpay	recipientpay	button
0.01	0	Fixation	Japanese	15	15	L
3.01	4.09	Recipient	Japanese	15	15	L
7.10	0	Payoff	Japanese	15	15	L
11.06	0	Choice	Japanese	15	15	L
14.07	0	Fixation	Elderly	14	6	R
17.07	4.09	Recipient	Elderly	14	6	R
21.16	0	Payoff	Elderly	14	6	R
25.25	0	Choice	Elderly	14	6	R
28.26	0	Fixation	Nurse	9	15	L
32.27	4.09	Recipient	Nurse	9	15	L
36.35	0	Payoff	Nurse	9	15	L
40.33	0	Choice	Nurse	9	15	L
43.34	0	Fixation	Farmer	20	5	R
46.35	4.09	Recipient	Farmer	20	5	R
50.43	0	Payoff	Farmer	20	5	R
55.77	0	Choice	Farmer	20	5	R
58.78	0	Fixation	PrisonInmate	5	20	L
61.79	4.09	Recipient	PrisonInmate	5	20	L
65.87	0	Payoff	PrisonInmate	5	20	L
70.10	0	Choice	PrisonInmate	5	20	L
73.11	0	Fixation	Farmer	15	15	L
75.12	4.08	Recipient	Farmer	15	15	L
79.20	0	Payoff	Farmer	15	15	L
83.40	0	Choice	Farmer	15	15	L
86.41	0	Fixation	Welfarerecipient	5	20	L
90.42	4.09	Recipient	Welfarerecipient	5	20	L
94.50	0	Payoff	Welfarerecipient	5	20	L
100.02	0	Choice	Welfarerecipient	5	20	L
103.03	0	Fixation	Accountant	15	9	L
107.03	4.09	Recipient	Accountant	15	9	L
111.12	0	Payoff	Accountant	15	9	L
116.22	0	Choice	Accountant	15	9	L
119.23	0	Fixation	Irish	5	5	R
127.24	4.09	Recipient	Irish	5	5	R
131.32	0	Payoff	Irish	5	5	R
135.45	0	Choice	Irish	5	5	R
138.47	0	Fixation	Elderly	5	20	L
141.47	4.09	Recipient	Elderly	5	20	L
145.56	0	Payoff	Elderly	5	20	L
149.46	0	Choice	Elderly	5	20	L
152.47	0	Fixation	Accountant	5	5	R
158.48	4.09	Recipient	Accountant	5	5	R
162.56	0	Payoff	Accountant	5	5	R
166.61	0	Choice	Accountant	5	5	R
169.62	0	Fixation	Jewish	14	6	R
172.62	4.09	Recipient	Jewish	14	6	R
176.71	0	Payoff	Jewish	14	6	R
184.07	0	Choice	Jewish	14	6	R
187.07	0	Fixation	Olympicathlete	5	20	R
189.08	4.09	Recipient	Olympicathlete	5	20	R
193.16	0	Payoff	Olympicathlete	5	20	R
197.24	0	Choice	Olympicathlete	5	20	R
200.25	0	Fixation	Greek	5	5	R
203.25	4.09	Recipient	Greek	5	5	R
207.34	0	Payoff	Greek	5	5	R
211.09	0	Choice	Greek	5	5	R
214.10	0	Fixation	Jewish	20	5	R
217.10	4.09	Recipient	Jewish	20	5	R
221.18	0	Payoff	Jewish	20	5	R
225.42	0	Choice	Jewish	20	5	R
228.43	0	Fixation	Stay-at-homeparent	15	9	R
232.43	4.09	Recipient	Stay-at-homeparent	15	9	R
236.52	0	Payoff	Stay-at-homeparent	15	9	R
240.25	0	Choice	Stay-at-homeparent	15	9	R
243.27	0	Fixation	Surgeon	5	5	R
246.27	4.09	Recipient	Surgeon	5	5	R
250.35	0	Payoff	Surgeon	5	5	R
254.52	0	Choice	Surgeon	5	5	R
257.53	0	Fixation	Lawyer	9	15	L
260.53	4.09	Recipient	Lawyer	9	15	L
264.62	0	Payoff	Lawyer	9	15	L
269.60	0	Choice	Lawyer	9	15	L
272.61	0	Fixation	Homeless	15	9	R
274.62	4.09	Recipient	Homeless	15	9	R
278.70	0	Payoff	Homeless	15	9	R
282.92	0	Choice	Homeless	15	9	R
285.93	0	Fixation	Arab	14	6	R
289.94	4.08	Recipient	Arab	14	6	R
294.02	0	Payoff	Arab	14	6	R
297.96	0	Choice	Arab	14	6	R
300.97	0	Fixation	Drugaddiction	15	9	R
303.97	4.09	Recipient	Drugaddiction	15	9	R
308.06	0	Payoff	Drugaddiction	15	9	R
315.36	0	Choice	Drugaddiction	15	9	R
318.37	0	Fixation	Mentaldisability	15	9	R
324.38	4.09	Recipient	Mentaldisability	15	9	R
328.46	0	Payoff	Mentaldisability	15	9	R
332.98	0	Choice	Mentaldisability	15	9	R
335.99	0	Fixation	Japanese	15	9	L
339.99	4.08	Recipient	Japanese	15	9	L
344.08	0	Payoff	Japanese	15	9	L
350.04	0	Choice	Japanese	15	9	L
353.05	0	Fixation	Mentaldisability	9	15	L
356.05	4.08	Recipient	Mentaldisability	9	15	L
360.13	0	Payoff	Mentaldisability	9	15	L
366.32	0	Choice	Mentaldisability	9	15	L
369.33	0	Fixation	Arab	5	20	L
378.33	4.08	Recipient	Arab	5	20	L
382.41	0	Payoff	Arab	5	20	L
387.81	0	Choice	Arab	5	20	L
390.82	0	Fixation	Irish	5	20	L
393.82	4.08	Recipient	Irish	5	20	L
397.90	0	Payoff	Irish	5	20	L
402.45	0	Choice	Irish	5	20	L
405.46	0	Fixation	Homeless	15	15	L
409.46	4.09	Recipient	Homeless	15	15	L
413.55	0	Payoff	Homeless	15	15	L
418.17	0	Choice	Homeless	15	15	L
421.18	0	Fixation	Lawyer	20	5	R
423.18	4.08	Recipient	Lawyer	20	5	R
427.26	0	Payoff	Lawyer	20	5	R
432.68	0	Choice	Lawyer	20	5	R
435.69	0	Fixation	British	15	15	L
439.69	4.09	Recipient	British	15	15	L
443.77	0	Payoff	British	15	15	L
447.58	0	Choice	British	15	15	L
450.59	0	Fixation	Drugaddiction	20	5	L
452.59	4.09	Recipient	Drugaddiction	20	5	L
456.67	0	Payoff	Drugaddiction	20	5	L
460.79	0	Choice	Drugaddiction	20	5	L
463.80	0	Fixation	Greek	15	15	L
466.80	4.08	Recipient	Greek	15	15	L
470.89	0	Payoff	Greek	15	15	L
474.64	0	Choice	Greek	15	15	L
477.65	0	Fixation	Japanese	14	6	R
480.65	4.08	Recipient	Japanese	14	6	R
484.73	0	Payoff	Japanese	14	6	R
491.38	0	Choice	Japanese	14	6	R
494.39	0	Fixation	Surgeon	5	20	R
498.39	4.09	Recipient	Surgeon	5	20	R
502.48	0	Payoff	Surgeon	5	20	R
506.54	0	Choice	Surgeon	5	20	R
509.55	0	Fixation	Arab	6	14	L
512.55	4.08	Recipient	Arab	6	14	L
516.64	0	Payoff	Arab	6	14	L
521.80	0	Choice	Arab	6	14	L
524.81	0	Fixation	Nurse	14	6	R
528.81	4.09	Recipient	Nurse	14	6	R
532.89	0	Payoff	Nurse	14	6	R
537.95	0	Choice	Nurse	14	6	R
540.96	0	Fixation	Elderly	15	9	R
543.96	4.08	Recipient	Elderly	15	9	R
548.05	0	Payoff	Elderly	15	9	R
552.55	0	Choice	Elderly	15	9	R
555.56	0	Fixation	Welfarerecipient	5	5	R
558.56	4.09	Recipient	Welfarerecipient	5	5	R
562.65	0	Payoff	Welfarerecipient	5	5	R
566.24	0	Choice	Welfarerecipient	5	5	R
569.25	0	Fixation	Elderly	6	14	L
573.25	4.09	Recipient	Elderly	6	14	L
577.34	0	Payoff	Elderly	6	14	L
580.90	0	Choice	Elderly	6	14	L
583.91	0	Fixation	Homeless	5	20	L
586.91	4.09	Recipient	Homeless	5	20	L
591.00	0	Payoff	Homeless	5	20	L
595.20	0	Choice	Homeless	5	20	L
598.21	0	Fixation	Spanish	9	15	L
609.21	4.09	Recipient	Spanish	9	15	L
613.30	0	Payoff	Spanish	9	15	L
618.67	0	Choice	Spanish	9	15	L
621.68	0	Fixation	Surgeon	9	15	R
624.68	4.08	Recipient	Surgeon	9	15	R
628.76	0	Payoff	Surgeon	9	15	R
632.51	0	Choice	Surgeon	9	15	R
635.52	0	Fixation	Olympicathlete	15	15	L
639.53	4.08	Recipient	Olympicathlete	15	15	L
643.61	0	Payoff	Olympicathlete	15	15	L
648.79	0	Choice	Olympicathlete	15	15	L
651.80	0	Fixation	Jewish	9	15	L
654.80	4.08	Recipient	Jewish	9	15	L
658.88	0	Payoff	Jewish	9	15	L
663.07	0	Choice	Jewish	9	15	L
666.08	0	Fixation	PrisonInmate	14	6	R
670.08	4.09	Recipient	PrisonInmate	14	6	R
674.16	0	Payoff	PrisonInmate	14	6	R
678.11	0	Choice	PrisonInmate	14	6	R
681.11	0	Fixation	Arab	15	15	L
691.12	4.08	Recipient	Arab	15	15	L
695.20	0	Payoff	Arab	15	15	L
698.82	0	Choice	Arab	15	15	L
701.83	0	Fixation	Japanese	6	14	L
705.83	4.08	Recipient	Japanese	6	14	L
709.91	0	Payoff	Japanese	6	14	L
717.28	0	Choice	Japanese	6	14	L
720.28	0	Fixation	Welfarerecipient	6	14	L
724.29	4.09	Recipient	Welfarerecipient	6	14	L
728.37	0	Payoff	Welfarerecipient	6	14	L
732.09	0	Choice	Welfarerecipient	6	14	L
735.10	0	Fixation	Surgeon	14	6	L
738.10	4.08	Recipient	Surgeon	14	6	L
742.19	0	Payoff	Surgeon	14	6	L
745.89	0	Choice	Surgeon	14	6	L
748.90	0	Fixation	British	14	6	L
753.90	4.09	Recipient	British	14	6	L
757.99	0	Payoff	British	14	6	L
761.64	0	Choice	British	14	6	L
764.65	0	Fixation	Farmer	5	20	L
767.65	4.08	Recipient	Farmer	5	20	L
771.74	0	Payoff	Farmer	5	20	L
775.81	0	Choice	Farmer	5	20	L
778.82	0	Fixation	Mentaldisability	6	14	R
782.82	4.08	Recipient	Mentaldisability	6	14	R
