onset	duration	event_type	recipient	selfpay	recipientpay	button
0.00	0	Fixation	Surgeon	6	14	R
4.01	4.52	Recipient	Surgeon	6	14	R
8.53	0	Payoff	Surgeon	6	14	R
13.37	0	Choice	Surgeon	6	14	R
16.38	0	Fixation	Greek	20	5	L
19.39	4.52	Recipient	Greek	20	5	L
23.91	0	Payoff	Greek	20	5	L
28.39	0	Choice	Greek	20	5	L
31.40	0	Fixation	Elderly	9	15	L
33.40	4.52	Recipient	Elderly	9	15	L
37.92	0	Payoff	Elderly	9	15	L
42.76	0	Choice	Elderly	9	15	L
45.77	0	Fixation	Japanese	9	15	R
47.78	4.52	Recipient	Japanese	9	15	R
52.30	0	Payoff	Japanese	9	15	R
57.90	0	Choice	Japanese	9	15	R
60.91	0	Fixation	Nurse	20	5	R
63.92	4.52	Recipient	Nurse	20	5	R
68.44	0	Payoff	Nurse	20	5	R
73.39	0	Choice	Nurse	20	5	R
76.40	0	Fixation	PrisonInmate	6	14	R
79.40	4.52	Recipient	PrisonInmate	6	14	R
83.92	0	Payoff	PrisonInmate	6	14	R
88.18	0	Choice	PrisonInmate	6	14	R
91.20	0	Fixation	Stay-at-homeparent	5	5	R
95.20	4.52	Recipient	Stay-at-homeparent	5	5	R
99.72	0	Payoff	Stay-at-homeparent	5	5	R
105.20	0	Choice	Stay-at-homeparent	5	5	R
108.21	0	Fixation	Jewish	14	6	R
112.22	4.52	Recipient	Jewish	14	6	R
116.74	0	Payoff	Jewish	14	6	R
123.95	0	Choice	Jewish	14	6	R
126.96	0	Fixation	Welfarerecipient	5	5	R
135.97	4.52	Recipient	Welfarerecipient	5	5	R
140.49	0	Payoff	Welfarerecipient	5	5	R
144.88	0	Choice	Welfarerecipient	5	5	R
147.89	0	Fixation	Japanese	6	14	R
150.90	4.52	Recipient	Japanese	6	14	R
155.42	0	Payoff	Japanese	6	14	R
162.23	0	Choice	Japanese	6	14	R
165.24	0	Fixation	Elderly	15	9	R
168.24	4.52	Recipient	Elderly	15	9	R
172.76	0	Payoff	Elderly	15	9	R
178.08	0	Choice	Elderly	15	9	R
181.09	0	Fixation	Irish	6	14	R
187.10	4.52	Recipient	Irish	6	14	R
191.61	0	Payoff	Irish	6	14	R
197.01	0	Choice	Irish	6	14	R
200.02	0	Fixation	Arab	15	15	L
206.02	4.52	Recipient	Arab	15	15	L
210.54	0	Payoff	Arab	15	15	L
216.95	0	Choice	Arab	15	15	L
219.96	0	Fixation	Lawyer	5	5	NA
221.96	4.52	Recipient	Lawyer	5	5	NA
226.48	0	Payoff	Lawyer	5	5	NA
235.66	0	Timeout	Lawyer	5	5	NA
238.66	0	Fixation	Accountant	14	6	L
241.66	4.52	Recipient	Accountant	14	6	L
246.18	0	Payoff	Accountant	14	6	L
250.87	0	Choice	Accountant	14	6	L
253.88	0	Fixation	Homeless	15	9	R
256.88	4.52	Recipient	Homeless	15	9	R
261.40	0	Payoff	Homeless	15	9	R
267.83	0	Choice	Homeless	15	9	R
270.84	0	Fixation	Farmer	20	5	R
273.85	4.52	Recipient	Farmer	20	5	R
278.37	0	Payoff	Farmer	20	5	R
283.59	0	Choice	Farmer	20	5	R
286.61	0	Fixation	Surgeon	15	9	L
289.61	4.52	Recipient	Surgeon	15	9	L
294.13	0	Payoff	Surgeon	15	9	L
299.07	0	Choice	Surgeon	15	9	L
302.08	0	Fixation	Arab	6	14	R
314.08	4.52	Recipient	Arab	6	14	R
318.60	0	Payoff	Arab	6	14	R
323.63	0	Choice	Arab	6	14	R
326.64	0	Fixation	PrisonInmate	14	6	L
329.64	4.52	Recipient	PrisonInmate	14	6	L
334.16	0	Payoff	PrisonInmate	14	6	L
338.92	0	Choice	PrisonInmate	14	6	L
341.93	0	Fixation	Welfarerecipient	14	6	R
343.93	4.52	Recipient	Welfarerecipient	14	6	R
348.45	0	Payoff	Welfarerecipient	14	6	R
353.48	0	Choice	Welfarerecipient	14	6	R
356.49	0	Fixation	Elderly	14	6	R
359.49	4.52	Recipient	Elderly	14	6	R
364.01	0	Payoff	Elderly	14	6	R
368.94	0	Choice	Elderly	14	6	R
371.95	0	Fixation	PrisonInmate	9	15	R
374.96	4.52	Recipient	PrisonInmate	9	15	R
379.48	0	Payoff	PrisonInmate	9	15	R
384.95	0	Choice	PrisonInmate	9	15	R
387.96	0	Fixation	Farmer	5	5	R
390.96	4.52	Recipient	Farmer	5	5	R
395.48	0	Payoff	Farmer	5	5	R
400.81	0	Choice	Farmer	5	5	R
403.82	0	Fixation	Nurse	6	14	R
407.82	4.52	Recipient	Nurse	6	14	R
412.34	0	Payoff	Nurse	6	14	R
419.06	0	Choice	Nurse	6	14	R
422.07	0	Fixation	British	15	15	L
425.07	4.52	Recipient	British	15	15	L
429.59	0	Payoff	British	15	15	L
435.08	0	Choice	British	15	15	L
438.09	0	Fixation	Drugaddiction	6	14	R
441.09	4.52	Recipient	Drugaddiction	6	14	R
445.61	0	Payoff	Drugaddiction	6	14	R
450.50	0	Choice	Drugaddiction	6	14	R
453.51	0	Fixation	Jewish	15	9	L
456.51	4.52	Recipient	Jewish	15	9	L
461.03	0	Payoff	Jewish	15	9	L
466.55	0	Choice	Jewish	15	9	L
469.56	0	Fixation	Spanish	15	15	L
471.56	4.52	Recipient	Spanish	15	15	L
476.08	0	Payoff	Spanish	15	15	L
481.19	0	Choice	Spanish	15	15	L
484.20	0	Fixation	Arab	14	6	L
496.20	4.52	Recipient	Arab	14	6	L
500.72	0	Payoff	Arab	14	6	L
505.81	0	Choice	Arab	14	6	L
508.82	0	Fixation	Farmer	6	14	L
519.83	4.52	Recipient	Farmer	6	14	L
524.34	0	Payoff	Farmer	6	14	L
529.70	0	Choice	Farmer	6	14	L
532.71	0	Fixation	British	20	5	L
536.72	4.52	Recipient	British	20	5	L
541.24	0	Payoff	British	20	5	L
548.58	0	Choice	British	20	5	L
551.59	0	Fixation	Irish	9	15	R
555.59	4.52	Recipient	Irish	9	15	R
560.11	0	Payoff	Irish	9	15	R
568.12	0	Choice	Irish	9	15	R
571.13	0	Fixation	Stay-at-homeparent	5	20	L
575.13	4.52	Recipient	Stay-at-homeparent	5	20	L
579.65	0	Payoff	Stay-at-homeparent	5	20	L
587.02	0	Choice	Stay-at-homeparent	5	20	L
590.03	0	Fixation	Surgeon	15	15	L
593.03	4.52	Recipient	Surgeon	15	15	L
597.55	0	Payoff	Surgeon	15	15	L
602.39	0	Choice	Surgeon	15	15	L
605.40	0	Fixation	PrisonInmate	20	5	L
608.40	4.52	Recipient	PrisonInmate	20	5	L
612.92	0	Payoff	PrisonInmate	20	5	L
617.74	0	Choice	PrisonInmate	20	5	L
620.75	0	Fixation	Welfarerecipient	15	9	R
623.76	4.52	Recipient	Welfarerecipient	15	9	R
628.28	0	Payoff	Welfarerecipient	15	9	R
633.71	0	Choice	Welfarerecipient	15	9	R
636.72	0	Fixation	Olympicathlete	14	6	R
639.72	4.52	Recipient	Olympicathlete	14	6	R
644.24	0	Payoff	Olympicathlete	14	6	R
650.33	0	Choice	Olympicathlete	14	6	R
653.34	0	Fixation	Nurse	5	20	R
655.35	4.52	Recipient	Nurse	5	20	R
659.86	0	Payoff	Nurse	5	20	R
665.38	0	Choice	Nurse	5	20	R
668.39	0	Fixation	Lawyer	15	9	L
672.39	4.52	Recipient	Lawyer	15	9	L
676.91	0	Payoff	Lawyer	15	9	L
681.89	0	Choice	Lawyer	15	9	L
684.90	0	Fixation	Irish	5	5	R
687.91	4.52	Recipient	Irish	5	5	R
692.42	0	Payoff	Irish	5	5	R
697.15	0	Choice	Irish	5	5	R
700.16	0	Fixation	British	6	14	L
704.16	4.52	Recipient	British	6	14	L
708.68	0	Payoff	British	6	14	L
712.93	0	Choice	British	6	14	L
715.94	0	Fixation	Greek	9	15	R
719.95	4.52	Recipient	Greek	9	15	R
724.47	0	Payoff	Greek	9	15	R
729.20	0	Choice	Greek	9	15	R
732.20	0	Fixation	Irish	14	6	L
735.21	4.52	Recipient	Irish	14	6	L
739.73	0	Payoff	Irish	14	6	L
744.46	0	Choice	Irish	14	6	L
747.47	0	Fixation	Drugaddiction	5	5	L
750.47	4.52	Recipient	Drugaddiction	5	5	L
754.99	0	Payoff	Drugaddiction	5	5	L
760.16	0	Choice	Drugaddiction	5	5	L
763.17	0	Fixation	British	9	15	R
766.17	4.52	Recipient	British	9	15	R
770.69	0	Payoff	British	9	15	R
775.48	0	Choice	British	9	15	R
778.49	0	Fixation	Mentaldisability	14	6	R
782.50	4.52	Recipient	Mentaldisability	14	6	R
787.02	0	Payoff	Mentaldisability	14	6	R
792.80	0	Choice	Mentaldisability	14	6	R
795.81	0	Fixation	Homeless	20	5	R
798.82	4.52	Recipient	Homeless	20	5	R
803.34	0	Payoff	Homeless	20	5	R
808.49	0	Choice	Homeless	20	5	R
811.50	0	Fixation	Farmer	5	20	L
813.51	4.52	Recipient	Farmer	5	20	L
818.03	0	Payoff	Farmer	5	20	L
823.21	0	Choice	Farmer	5	20	L
826.22	0	Fixation	Jewish	5	5	R
830.22	4.52	Recipient	Jewish	5	5	R
834.74	0	Payoff	Jewish	5	5	R
839.76	0	Choice	Jewish	5	5	R
842.77	0	Fixation	Accountant	15	9	L
845.77	4.52	Recipient	Accountant	15	9	L
850.29	0	Payoff	Accountant	15	9	L
855.27	0	Choice	Accountant	15	9	L
858.28	0	Fixation	Accountant	9	15	R
860.28	4.52	Recipient	Accountant	9	15	R
864.80	0	Payoff	Accountant	9	15	R
869.78	0	Choice	Accountant	9	15	R
872.79	0	Fixation	Accountant	20	5	L
875.79	4.52	Recipient	Accountant	20	5	L
880.31	0	Payoff	Accountant	20	5	L
885.10	0	Choice	Accountant	20	5	L
888.11	0	Fixation	Olympicathlete	15	15	L
890.11	4.52	Recipient	Olympicathlete	15	15	L
894.63	0	Payoff	Olympicathlete	15	15	L
899.40	0	Choice	Olympicathlete	15	15	L
902.41	0	Fixation	Homeless	9	15	L
