onset	duration	event_type	recipient	selfpay	recipientpay	button
0.00	0	Fixation	Olympicathlete	6	14	R
2.01	5.04	Recipient	Olympicathlete	6	14	R
7.05	0	Payoff	Olympicathlete	6	14	R
12.28	0	Choice	Olympicathlete	6	14	R
15.30	0	Fixation	Elderly	5	5	R
17.30	5.04	Recipient	Elderly	5	5	R
22.34	0	Payoff	Elderly	5	5	R
27.55	0	Choice	Elderly	5	5	R
30.57	0	Fixation	Drugaddiction	5	5	R
33.58	5.05	Recipient	Drugaddiction	5	5	R
38.63	0	Payoff	Drugaddiction	5	5	R
45.02	0	Choice	Drugaddiction	5	5	R
48.04	0	Fixation	Japanese	5	20	R
51.05	5.04	Recipient	Japanese	5	20	R
56.09	0	Payoff	Japanese	5	20	R
60.43	0	Choice	Japanese	5	20	R
63.45	0	Fixation	Stay-at-homeparent	20	5	R
67.46	5.05	Recipient	Stay-at-homeparent	20	5	R
72.50	0	Payoff	Stay-at-homeparent	20	5	R
77.41	0	Choice	Stay-at-homeparent	20	5	R
80.43	0	Fixation	Accountant	6	14	R
82.44	5.04	Recipient	Accountant	6	14	R
87.47	0	Payoff	Accountant	6	14	R
91.91	0	Choice	Accountant	6	14	R
94.93	0	Fixation	Accountant	20	5	R
97.94	5.04	Recipient	Accountant	20	5	R
102.97	0	Payoff	Accountant	20	5	R
108.05	0	Choice	Accountant	20	5	R
111.08	0	Fixation	Mentaldisability	15	15	L
119.08	5.04	Recipient	Mentaldisability	15	15	L
124.12	0	Payoff	Mentaldisability	15	15	L
129.38	0	Choice	Mentaldisability	15	15	L
132.40	0	Fixation	Farmer	5	20	R
135.41	5.04	Recipient	Farmer	5	20	R
140.44	0	Payoff	Farmer	5	20	R
145.08	0	Choice	Farmer	5	20	R
148.10	0	Fixation	Irish	15	9	R
152.11	5.04	Recipient	Irish	15	9	R
157.14	0	Payoff	Irish	15	9	R
161.84	0	Choice	Irish	15	9	R
164.85	0	Fixation	Arab	9	15	R
168.85	5.04	Recipient	Arab	9	15	R
173.89	0	Payoff	Arab	9	15	R
178.50	0	Choice	Arab	9	15	R
181.51	0	Fixation	Drugaddiction	9	15	R
185.52	5.04	Recipient	Drugaddiction	9	15	R
190.55	0	Payoff	Drugaddiction	9	15	R
196.30	0	Choice	Drugaddiction	9	15	R
199.31	0	Fixation	Greek	5	20	R
201.31	5.04	Recipient	Greek	5	20	R
206.35	0	Payoff	Greek	5	20	R
211.98	0	Choice	Greek	5	20	R
214.99	0	Fixation	Spanish	5	20	R
217.99	5.04	Recipient	Spanish	5	20	R
223.03	0	Payoff	Spanish	5	20	R
228.33	0	Choice	Spanish	5	20	R
231.34	0	Fixation	Surgeon	15	9	R
239.35	5.04	Recipient	Surgeon	15	9	R
244.38	0	Payoff	Surgeon	15	9	R
248.72	0	Choice	Surgeon	15	9	R
251.73	0	Fixation	Olympicathlete	15	15	L
255.74	5.04	Recipient	Olympicathlete	15	15	L
