onset	duration	event_type	recipient	selfpay	recipientpay	button
0.01	0	Fixation	Arab	14	6	R
4.01	4.83	Recipient	Arab	14	6	R
8.84	0	Payoff	Arab	14	6	R
13.54	0	Choice	Arab	14	6	R
16.55	0	Fixation	Drugaddiction	14	6	R
20.55	4.83	Recipient	Drugaddiction	14	6	R
25.38	0	Payoff	Drugaddiction	14	6	R
30.15	0	Choice	Drugaddiction	14	6	R
33.16	0	Fixation	Greek	15	9	R
36.16	4.83	Recipient	Greek	15	9	R
40.99	0	Payoff	Greek	15	9	R
45.64	0	Choice	Greek	15	9	R
48.65	0	Fixation	Spanish	14	6	R
51.65	4.83	Recipient	Spanish	14	6	R
56.48	0	Payoff	Spanish	14	6	R
63.14	0	Choice	Spanish	14	6	R
66.15	0	Fixation	Stay-at-homeparent	15	9	R
69.15	4.83	Recipient	Stay-at-homeparent	15	9	R
73.98	0	Payoff	Stay-at-homeparent	15	9	R
78.70	0	Choice	Stay-at-homeparent	15	9	R
81.70	0	Fixation	Drugaddiction	9	15	R
84.71	4.83	Recipient	Drugaddiction	9	15	R
89.54	0	Payoff	Drugaddiction	9	15	R
94.55	0	Choice	Drugaddiction	9	15	R
97.56	0	Fixation	Homeless	9	15	R
100.56	4.83	Recipient	Homeless	9	15	R
105.39	0	Payoff	Homeless	9	15	R
110.74	0	Choice	Homeless	9	15	R
113.75	0	Fixation	Lawyer	5	5	R
117.76	4.83	Recipient	Lawyer	5	5	R
122.58	0	Payoff	Lawyer	5	5	R
127.31	0	Choice	Lawyer	5	5	R
130.32	0	Fixation	Elderly	6	14	R
132.33	4.83	Recipient	Elderly	6	14	R
137.15	0	Payoff	Elderly	6	14	R
141.81	0	Choice	Elderly	6	14	R
144.82	0	Fixation	Lawyer	15	9	R
147.82	4.83	Recipient	Lawyer	15	9	R
152.65	0	Payoff	Lawyer	15	9	R
157.41	0	Choice	Lawyer	15	9	R
160.42	0	Fixation	Farmer	5	20	R
169.42	4.83	Recipient	Farmer	5	20	R
174.25	0	Payoff	Farmer	5	20	R
179.72	0	Choice	Farmer	5	20	R
182.73	0	Fixation	Greek	20	5	R
184.73	4.82	Recipient	Greek	20	5	R
189.56	0	Payoff	Greek	20	5	R
194.41	0	Choice	Greek	20	5	R
197.41	0	Fixation	Welfarerecipient	5	20	R
205.42	4.83	Recipient	Welfarerecipient	5	20	R
210.24	0	Payoff	Welfarerecipient	5	20	R
215.15	0	Choice	Welfarerecipient	5	20	R
218.16	0	Fixation	Greek	9	15	R
220.16	4.83	Recipient	Greek	9	15	R
224.99	0	Payoff	Greek	9	15	R
229.82	0	Choice	Greek	9	15	R
232.83	0	Fixation	Irish	9	15	R
243.83	4.83	Recipient	Irish	9	15	R
248.65	0	Payoff	Irish	9	15	R
253.57	0	Choice	Irish	9	15	R
256.58	0	Fixation	Olympicathlete	5	20	R
258.58	4.83	Recipient	Olympicathlete	5	20	R
263.41	0	Payoff	Olympicathlete	5	20	R
269.39	0	Choice	Olympicathlete	5	20	R
272.40	0	Fixation	Nurse	5	5	R
274.40	4.83	Recipient	Nurse	5	5	R
279.23	0	Payoff	Nurse	5	5	R
283.79	0	Choice	Nurse	5	5	R
286.80	0	Fixation	British	15	9	R
290.80	4.83	Recipient	British	15	9	R
295.62	0	Payoff	British	15	9	R
300.15	0	Choice	British	15	9	R
303.16	0	Fixation	PrisonInmate	9	15	R
305.17	4.83	Recipient	PrisonInmate	9	15	R
309.99	0	Payoff	PrisonInmate	9	15	R
314.69	0	Choice	PrisonInmate	9	15	R
317.70	0	Fixation	Japanese	14	6	R
319.70	4.83	Recipient	Japanese	14	6	R
324.53	0	Payoff	Japanese	14	6	R
329.08	0	Choice	Japanese	14	6	R
332.09	0	Fixation	Accountant	20	5	R
337.09	4.83	Recipient	Accountant	20	5	R
341.91	0	Payoff	Accountant	20	5	R
346.40	0	Choice	Accountant	20	5	R
349.41	0	Fixation	Welfarerecipient	15	15	L
351.41	4.83	Recipient	Welfarerecipient	15	15	L
356.24	0	Payoff	Welfarerecipient	15	15	L
360.96	0	Choice	Welfarerecipient	15	15	L
363.97	0	Fixation	Elderly	5	20	R
366.97	4.83	Recipient	Elderly	5	20	R
