onset	duration	event_type	recipient	selfpay	recipientpay	button
0.01	0	Fixation	Stay-at-homeparent	20	5	R
8.01	4.58	Recipient	Stay-at-homeparent	20	5	R
12.59	0	Payoff	Stay-at-homeparent	20	5	R
17.42	0	Choice	Stay-at-homeparent	20	5	R
20.45	0	Fixation	Elderly	15	9	R
23.45	4.58	Recipient	Elderly	15	9	R
28.03	0	Payoff	Elderly	15	9	R
32.94	0	Choice	Elderly	15	9	R
35.96	0	Fixation	Nurse	14	6	R
38.97	4.58	Recipient	Nurse	14	6	R
43.55	0	Payoff	Nurse	14	6	R
48.30	0	Choice	Nurse	14	6	R
51.31	0	Fixation	Welfarerecipient	15	15	L
59.32	4.58	Recipient	Welfarerecipient	15	15	L
63.90	0	Payoff	Welfarerecipient	15	15	L
69.04	0	Choice	Welfarerecipient	15	15	L
72.06	0	Fixation	Welfarerecipient	5	5	R
76.07	4.58	Recipient	Welfarerecipient	5	5	R
80.64	0	Payoff	Welfarerecipient	5	5	R
85.76	0	Choice	Welfarerecipient	5	5	R
88.78	0	Fixation	British	20	5	R
92.79	4.58	Recipient	British	20	5	R
97.37	0	Payoff	British	20	5	R
102.45	0	Choice	British	20	5	R
105.47	0	Fixation	Accountant	9	15	L
108.48	4.58	Recipient	Accountant	9	15	L
113.05	0	Payoff	Accountant	9	15	L
118.40	0	Choice	Accountant	9	15	L
121.42	0	Fixation	Jewish	15	15	L
124.43	4.58	Recipient	Jewish	15	15	L
129.00	0	Payoff	Jewish	15	15	L
134.06	0	Choice	Jewish	15	15	L
137.07	0	Fixation	Farmer	9	15	L
139.08	4.58	Recipient	Farmer	9	15	L
143.66	0	Payoff	Farmer	9	15	L
148.45	0	Choice	Farmer	9	15	L
151.47	0	Fixation	Irish	15	9	R
162.48	4.57	Recipient	Irish	15	9	R
167.06	0	Payoff	Irish	15	9	R
171.95	0	Choice	Irish	15	9	R
174.96	0	Fixation	Mentaldisability	5	5	R
177.97	4.57	Recipient	Mentaldisability	5	5	R
182.54	0	Payoff	Mentaldisability	5	5	R
187.48	0	Choice	Mentaldisability	5	5	R
190.49	0	Fixation	Lawyer	6	14	R
194.49	4.57	Recipient	Lawyer	6	14	R
199.07	0	Payoff	Lawyer	6	14	R
204.14	0	Choice	Lawyer	6	14	R
207.15	0	Fixation	Lawyer	15	15	L
212.16	4.57	Recipient	Lawyer	15	15	L
216.73	0	Payoff	Lawyer	15	15	L
222.19	0	Choice	Lawyer	15	15	L
225.20	0	Fixation	Elderly	9	15	L
228.21	4.57	Recipient	Elderly	9	15	L
232.78	0	Payoff	Elderly	9	15	L
