onset	duration	event_type	recipient	selfpay	recipientpay	button
244.19	0	Choice	Welfarerecipient	14	6	R
247.20	0	Fixation	Spanish	14	6	R
249.20	3.75	Recipient	Spanish	14	6	R
252.95	0	Payoff	Spanish	14	6	R
259.74	0	Choice	Spanish	14	6	R
262.75	0	Fixation	PrisonInmate	6	14	R
272.75	3.75	Recipient	PrisonInmate	6	14	R
276.50	0	Payoff	PrisonInmate	6	14	R
284.03	0	Choice	PrisonInmate	6	14	R
287.04	0	Fixation	Accountant	15	15	L
291.04	3.75	Recipient	Accountant	15	15	L
294.79	0	Payoff	Accountant	15	15	L
301.35	0	Choice	Accountant	15	15	L
304.36	0	Fixation	Japanese	14	6	R
314.36	3.75	Recipient	Japanese	14	6	R
318.11	0	Payoff	Japanese	14	6	R
324.60	0	Choice	Japanese	14	6	R
327.61	0	Fixation	Accountant	9	15	R
330.61	3.75	Recipient	Accountant	9	15	R
334.36	0	Payoff	Accountant	9	15	R
340.73	0	Choice	Accountant	9	15	R
343.74	0	Fixation	Drugaddiction	9	15	L
347.74	3.75	Recipient	Drugaddiction	9	15	L
351.49	0	Payoff	Drugaddiction	9	15	L
358.69	0	Choice	Drugaddiction	9	15	L
361.70	0	Fixation	Lawyer	15	9	R
364.71	3.75	Recipient	Lawyer	15	9	R
368.46	0	Payoff	Lawyer	15	9	R
374.87	0	Choice	Lawyer	15	9	R
377.88	0	Fixation	Accountant	14	6	R
379.89	3.75	Recipient	Accountant	14	6	R
383.64	0	Payoff	Accountant	14	6	R
390.82	0	Choice	Accountant	14	6	R
393.83	0	Fixation	Irish	20	5	R
400.83	3.75	Recipient	Irish	20	5	R
404.58	0	Payoff	Irish	20	5	R
411.75	0	Choice	Irish	20	5	R
414.76	0	Fixation	Drugaddiction	5	20	L
417.76	3.75	Recipient	Drugaddiction	5	20	L
421.51	0	Payoff	Drugaddiction	5	20	L
428.68	0	Choice	Drugaddiction	5	20	L
431.69	0	Fixation	PrisonInmate	15	15	L
434.69	3.75	Recipient	PrisonInmate	15	15	L
438.44	0	Payoff	PrisonInmate	15	15	L
444.97	0	Choice	PrisonInmate	15	15	L
447.98	0	Fixation	Spanish	5	20	R
452.98	3.75	Recipient	Spanish	5	20	R
456.73	0	Payoff	Spanish	5	20	R
463.27	0	Choice	Spanish	5	20	R
466.28	0	Fixation	Japanese	5	5	R
470.28	3.75	Recipient	Japanese	5	5	R
474.03	0	Payoff	Japanese	5	5	R
480.54	0	Choice	Japanese	5	5	R
483.55	0	Fixation	Greek	15	9	R
485.56	3.75	Recipient	Greek	15	9	R
489.31	0	Payoff	Greek	15	9	R
495.72	0	Choice	Greek	15	9	R
498.73	0	Fixation	Irish	6	14	R
502.73	3.75	Recipient	Irish	6	14	R
506.48	0	Payoff	Irish	6	14	R
512.67	0	Choice	Irish	6	14	R
515.68	0	Fixation	Farmer	20	5	R
518.69	3.75	Recipient	Farmer	20	5	R
522.43	0	Payoff	Farmer	20	5	R
528.93	0	Choice	Farmer	20	5	R
531.94	0	Fixation	British	9	15	R
535.94	3.75	Recipient	British	9	15	R
539.69	0	Payoff	British	9	15	R
546.25	0	Choice	British	9	15	R
549.26	0	Fixation	Lawyer	5	5	R
552.26	3.75	Recipient	Lawyer	5	5	R
556.02	0	Payoff	Lawyer	5	5	R
562.37	0	Choice	Lawyer	5	5	R
565.38	0	Fixation	Elderly	9	15	R
568.38	3.75	Recipient	Elderly	9	15	R
572.13	0	Payoff	Elderly	9	15	R
578.54	0	Choice	Elderly	9	15	R
581.55	0	Fixation	Arab	5	5	R
584.55	3.75	Recipient	Arab	5	5	R
588.30	0	Payoff	Arab	5	5	R
594.85	0	Choice	Arab	5	5	R
597.86	0	Fixation	Welfarerecipient	20	5	R
600.86	3.75	Recipient	Welfarerecipient	20	5	R
604.61	0	Payoff	Welfarerecipient	20	5	R
610.85	0	Choice	Welfarerecipient	20	5	R
613.86	0	Fixation	Arab	5	20	R
617.87	3.75	Recipient	Arab	5	20	R
621.62	0	Payoff	Arab	5	20	R
628.14	0	Choice	Arab	5	20	R
631.15	0	Fixation	Drugaddiction	15	9	R
635.16	3.75	Recipient	Drugaddiction	15	9	R
638.91	0	Payoff	Drugaddiction	15	9	R
645.14	0	Choice	Drugaddiction	15	9	R
648.15	0	Fixation	Nurse	5	20	R
656.15	3.75	Recipient	Nurse	5	20	R
659.90	0	Payoff	Nurse	5	20	R
666.11	0	Choice	Nurse	5	20	R
669.12	0	Fixation	Jewish	5	20	R
672.12	3.75	Recipient	Jewish	5	20	R
675.87	0	Payoff	Jewish	5	20	R
682.07	0	Choice	Jewish	5	20	R
685.08	0	Fixation	Irish	9	15	R
687.09	3.75	Recipient	Irish	9	15	R
690.84	0	Payoff	Irish	9	15	R
697.45	0	Choice	Irish	9	15	R
700.46	0	Fixation	Stay-at-homeparent	9	15	L
704.46	3.75	Recipient	Stay-at-homeparent	9	15	L
708.21	0	Payoff	Stay-at-homeparent	9	15	L
717.12	0	Choice	Stay-at-homeparent	9	15	L
720.13	0	Fixation	Homeless	14	6	R
722.14	3.75	Recipient	Homeless	14	6	R
725.89	0	Payoff	Homeless	14	6	R
732.03	0	Choice	Homeless	14	6	R
735.04	0	Fixation	Mentaldisability	5	20	L
738.04	3.75	Recipient	Mentaldisability	5	20	L
741.79	0	Payoff	Mentaldisability	5	20	L
748.40	0	Choice	Mentaldisability	5	20	L
751.41	0	Fixation	Mentaldisability	5	5	R
753.41	3.75	Recipient	Mentaldisability	5	5	R
757.16	0	Payoff	Mentaldisability	5	5	R
763.85	0	Choice	Mentaldisability	5	5	R
766.86	0	Fixation	Arab	9	15	R
768.86	3.75	Recipient	Arab	9	15	R
772.61	0	Payoff	Arab	9	15	R
778.87	0	Choice	Arab	9	15	R
781.88	0	Fixation	Olympicathlete	14	6	R
785.88	3.75	Recipient	Olympicathlete	14	6	R
789.63	0	Payoff	Olympicathlete	14	6	R
796.08	0	Choice	Olympicathlete	14	6	R
799.09	0	Fixation	Drugaddiction	15	15	L
801.09	3.75	Recipient	Drugaddiction	15	15	L
804.84	0	Payoff	Drugaddiction	15	15	L
811.12	0	Choice	Drugaddiction	15	15	L
814.13	0	Fixation	Nurse	15	9	R
817.13	3.75	Recipient	Nurse	15	9	R
820.88	0	Payoff	Nurse	15	9	R
827.82	0	Choice	Nurse	15	9	R
830.83	0	Fixation	Stay-at-homeparent	5	5	R
833.84	3.75	Recipient	Stay-at-homeparent	5	5	R
837.59	0	Payoff	Stay-at-homeparent	5	5	R
844.14	0	Choice	Stay-at-homeparent	5	5	R
847.15	0	Fixation	Homeless	20	5	R
850.15	3.75	Recipient	Homeless	20	5	R
853.90	0	Payoff	Homeless	20	5	R
860.28	0	Choice	Homeless	20	5	R
863.29	0	Fixation	PrisonInmate	5	5	R
866.30	3.75	Recipient	PrisonInmate	5	5	R
870.04	0	Payoff	PrisonInmate	5	5	R
876.72	0	Choice	PrisonInmate	5	5	R
879.72	0	Fixation	Farmer	14	6	R
882.73	3.75	Recipient	Farmer	14	6	R
886.48	0	Payoff	Farmer	14	6	R
892.63	0	Choice	Farmer	14	6	R
895.64	0	Fixation	Mentaldisability	6	14	L
903.64	3.75	Recipient	Mentaldisability	6	14	L
907.39	0	Payoff	Mentaldisability	6	14	L
914.64	0	Choice	Mentaldisability	6	14	L
917.66	0	Fixation	Nurse	5	5	R
920.66	3.75	Recipient	Nurse	5	5	R
924.41	0	Payoff	Nurse	5	5	R
930.50	0	Choice	Nurse	5	5	R
933.51	0	Fixation	Greek	14	6	R
936.51	3.75	Recipient	Greek	14	6	R
940.26	0	Payoff	Greek	14	6	R
946.73	0	Choice	Greek	14	6	R
949.74	0	Fixation	Farmer	9	15	L
959.75	3.75	Recipient	Farmer	9	15	L
963.50	0	Payoff	Farmer	9	15	L
971.63	0	Choice	Farmer	9	15	L
974.64	0	Fixation	Farmer	15	9	R
977.64	3.75	Recipient	Farmer	15	9	R
981.39	0	Payoff	Farmer	15	9	R
988.02	0	Choice	Farmer	15	9	R
991.03	0	Fixation	British	15	9	R
993.03	3.75	Recipient	British	15	9	R
996.78	0	Payoff	British	15	9	R
1003.95	0	Choice	British	15	9	R
1006.96	0	Fixation	British	14	6	R
1008.96	3.75	Recipient	British	14	6	R
1012.71	0	Payoff	British	14	6	R
1019.62	0	Choice	British	14	6	R
1022.63	0	Fixation	Stay-at-homeparent	15	9	R
1025.63	3.75	Recipient	Stay-at-homeparent	15	9	R
1029.38	0	Payoff	Stay-at-homeparent	15	9	R
1035.57	0	Choice	Stay-at-homeparent	15	9	R
1038.59	0	Fixation	Olympicathlete	15	9	R
1043.59	3.75	Recipient	Olympicathlete	15	9	R
1047.34	0	Payoff	Olympicathlete	15	9	R
1054.02	0	Choice	Olympicathlete	15	9	R
1057.03	0	Fixation	Spanish	5	5	R
1060.04	3.75	Recipient	Spanish	5	5	R
1063.78	0	Payoff	Spanish	5	5	R
1069.95	0	Choice	Spanish	5	5	R
1072.96	0	Fixation	Surgeon	9	15	L
1075.97	3.75	Recipient	Surgeon	9	15	L
1079.71	0	Payoff	Surgeon	9	15	L
1088.06	0	Choice	Surgeon	9	15	L
1091.07	0	Fixation	Surgeon	14	6	R
1100.08	3.75	Recipient	Surgeon	14	6	R
1103.83	0	Payoff	Surgeon	14	6	R
1110.00	0	Choice	Surgeon	14	6	R
1113.01	0	Fixation	Accountant	5	5	R
1116.02	3.75	Recipient	Accountant	5	5	R
1119.77	0	Payoff	Accountant	5	5	R
1130.16	0	Choice	Accountant	5	5	R
1133.17	0	Fixation	Elderly	15	15	L
1137.17	3.75	Recipient	Elderly	15	15	L
1140.92	0	Payoff	Elderly	15	15	L
1147.15	0	Choice	Elderly	15	15	L
1150.16	0	Fixation	Welfarerecipient	9	15	L
1162.17	3.75	Recipient	Welfarerecipient	9	15	L
1165.92	0	Payoff	Welfarerecipient	9	15	L
1172.36	0	Choice	Welfarerecipient	9	15	L
1175.37	0	Fixation	Welfarerecipient	15	15	L
1178.37	3.75	Recipient	Welfarerecipient	15	15	L
1182.12	0	Payoff	Welfarerecipient	15	15	L
1188.17	0	Choice	Welfarerecipient	15	15	L
1191.18	0	Fixation	Jewish	15	15	L
1194.18	3.75	Recipient	Jewish	15	15	L
1197.93	0	Payoff	Jewish	15	15	L
1204.11	0	Choice	Jewish	15	15	L
1207.12	0	Fixation	PrisonInmate	9	15	L
1215.13	3.75	Recipient	PrisonInmate	9	15	L
1218.88	0	Payoff	PrisonInmate	9	15	L
1225.66	0	Choice	PrisonInmate	9	15	L
1228.67	0	Fixation	British	5	5	R
1232.67	3.75	Recipient	British	5	5	R
1236.42	0	Payoff	British	5	5	R
1242.92	0	Choice	British	5	5	R
1245.93	0	Fixation	Japanese	20	5	R
1252.93	3.75	Recipient	Japanese	20	5	R
1256.68	0	Payoff	Japanese	20	5	R
1263.07	0	Choice	Japanese	20	5	R
1266.09	0	Fixation	Stay-at-homeparent	6	14	L
1269.09	3.75	Recipient	Stay-at-homeparent	6	14	L
1272.84	0	Payoff	Stay-at-homeparent	6	14	L
1279.71	0	Choice	Stay-at-homeparent	6	14	L
1282.73	0	Fixation	Olympicathlete	5	20	R
1285.73	3.75	Recipient	Olympicathlete	5	20	R
1289.48	0	Payoff	Olympicathlete	5	20	R
1296.21	0	Choice	Olympicathlete	5	20	R
1299.22	0	Fixation	Homeless	5	5	R
1302.23	3.75	Recipient	Homeless	5	5	R
1305.98	0	Payoff	Homeless	5	5	R
1312.25	0	Choice	Homeless	5	5	R
1315.26	0	Fixation	Jewish	5	5	R
1318.26	3.75	Recipient	Jewish	5	5	R
1322.01	0	Payoff	Jewish	5	5	R
1328.67	0	Choice	Jewish	5	5	R
1331.68	0	Fixation	Greek	20	5	R
1334.68	3.75	Recipient	Greek	20	5	R
1338.43	0	Payoff	Greek	20	5	R
1344.69	0	Choice	Greek	20	5	R
1347.70	0	Fixation	Lawyer	6	14	R
1355.70	3.75	Recipient	Lawyer	6	14	R
1359.45	0	Payoff	Lawyer	6	14	R
1366.88	0	Choice	Lawyer	6	14	R
1369.89	0	Fixation	Elderly	20	5	R
1373.90	3.75	Recipient	Elderly	20	5	R
1377.65	0	Payoff	Elderly	20	5	R
1383.80	0	Choice	Elderly	20	5	R
1386.81	0	Fixation	Surgeon	15	9	R
1388.82	3.75	Recipient	Surgeon	15	9	R
1392.56	0	Payoff	Surgeon	15	9	R
1398.82	0	Choice	Surgeon	15	9	R
