onset	duration	event_type	recipient	selfpay	recipientpay	button
0.01	0	Fixation	Elderly	6	14	R
2.01	3.75	Recipient	Elderly	6	14	R
5.76	0	Payoff	Elderly	6	14	R
12.96	0	Choice	Elderly	6	14	R
15.97	0	Fixation	Japanese	6	14	R
18.98	3.75	Recipient	Japanese	6	14	R
22.73	0	Payoff	Japanese	6	14	R
29.95	0	Choice	Japanese	6	14	R
32.96	0	Fixation	Nurse	15	15	L
34.96	3.75	Recipient	Nurse	15	15	L
38.71	0	Payoff	Nurse	15	15	L
46.10	0	Choice	Nurse	15	15	L
49.11	0	Fixation	Lawyer	15	15	L
53.12	3.75	Recipient	Lawyer	15	15	L
56.87	0	Payoff	Lawyer	15	15	L
64.22	0	Choice	Lawyer	15	15	L
67.23	0	Fixation	Homeless	6	14	L
70.23	3.75	Recipient	Homeless	6	14	L
73.99	0	Payoff	Homeless	6	14	L
81.34	0	Choice	Homeless	6	14	L
84.35	0	Fixation	Greek	6	14	R
87.35	3.75	Recipient	Greek	6	14	R
91.10	0	Payoff	Greek	6	14	R
97.78	0	Choice	Greek	6	14	R
100.79	0	Fixation	Jewish	20	5	R
104.79	3.75	Recipient	Jewish	20	5	R
108.55	0	Payoff	Jewish	20	5	R
115.10	0	Choice	Jewish	20	5	R
118.11	0	Fixation	Mentaldisability	15	9	R
121.12	3.75	Recipient	Mentaldisability	15	9	R
124.87	0	Payoff	Mentaldisability	15	9	R
132.09	0	Choice	Mentaldisability	15	9	R
135.10	0	Fixation	Surgeon	6	14	R
139.10	3.75	Recipient	Surgeon	6	14	R
142.85	0	Payoff	Surgeon	6	14	R
149.72	0	Choice	Surgeon	6	14	R
152.73	0	Fixation	Irish	15	15	L
156.73	3.75	Recipient	Irish	15	15	L
160.49	0	Payoff	Irish	15	15	L
167.33	0	Choice	Irish	15	15	L
170.34	0	Fixation	Spanish	20	5	R
173.34	3.75	Recipient	Spanish	20	5	R
177.09	0	Payoff	Spanish	20	5	R
183.97	0	Choice	Spanish	20	5	R
186.98	0	Fixation	Arab	14	6	R
189.99	3.75	Recipient	Arab	14	6	R
193.74	0	Payoff	Arab	14	6	R
200.35	0	Choice	Arab	14	6	R
203.36	0	Fixation	Olympicathlete	15	15	L
207.36	3.75	Recipient	Olympicathlete	15	15	L
211.11	0	Payoff	Olympicathlete	15	15	L
217.71	0	Choice	Olympicathlete	15	15	L
220.72	0	Fixation	Welfarerecipient	14	6	R
232.72	3.75	Recipient	Welfarerecipient	14	6	R
236.47	0	Payoff	Welfarerecipient	14	6	R
